id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
91 699.72161 50.26922 0.46384179 -0.19620028 0.33324325 121 0 5187.4431 5.2172626 -1.7936067
92 1332.679 50.27722 0.32800185 -0.10842767 0.086681381 121 0 4421.1853 2.4440165 -0.97026034
93 1484.9374 50.489908 0.6498285 -0.10456335 0.1566088 121 0 11475.687 31.731832 -3.7537379
94 1248.1122 51.383178 0.3357563 -0.22976356 0.37308221 121 0 4275.4718 1.5913916 -0.50444265
95 92.986544 53.249644 0.47509381 0.1184233 0.22630058 121 0 5433.3668 4.7869245 -1.7001414
96 841.94058 52.438854 0.29754668 -0.34339742 0.24147678 121 0 5165.6628 6.2627233 -1.9919081
97 1363.6788 51.58801 0.46841251 -0.093783486 0.14225527 121 0 4723.9739 3.5533216 -1.3765863
98 1749.9002 51.415328 0.2645253 -0.0024760497 0.1114892 121 0 4282.5052 1.7490922 -0.60703174
99 1888.1057 52.457016 0.93871635 -0.12367289 0.066272883 121 0 6077.8707 6.3652465 -2.0095381
100 419.65161 54.613895 0.31049931 0.045778543 0.57507671 121 0 4539.045 2.191014 -0.85161289
101 1544.5313 53.968243 0.64152944 -0.20434661 0.089975628 121 0 5148.446 4.6888764 -1.677672
102 2310.2878 54.097385 0.95300455 -0.1683872 0.093948028 121 0 4791.7122 2.3962424 -0.94882687
103 1950.1033 55.045253 0.87139964 -0.15184813 0.02682408 121 0 5853.3891 6.1179525 -1.9665153
104 1533.8264 56.28229 0.72591546 0.28941527 0.31756056 121 0 4423.8993 1.440782 -0.39649572
105 1782.5602 57.316352 0.73632275 -0.073612353 0.20580152 121 0 4658.1796 2.3316574 -0.91916186
106 223.09674 59.138502 0.37692772 0.043283672 0.2497475 121 0 22023.541 70.539673 -4.6210836
108 1836.8495 59.736782 0.72002462 0.1260651 0.10862454 121 0 4513.0358 1.6607086 -0.55073356
109 907.80639 61.654209 0.50411072 -0.71033737 -0.081878316 121 0 4367.6465 1.3502151 -0.32600738
110 621.866 62.6516 0.60299447 -0.078889372 0.33798754 121 0 4328.8304 1.1096444 -0.11295955
111 1615.826 63.018013 0.35383732 0.44238276 -0.10816816 121 0 4222.1973 1.1484953 -0.15032309
112 1644.4 62.273632 0.87882636 0.08520096 0.039253712 121 0 4524.6206 1.5607906 -0.48336159
113 72.543606 64.594348 0.88883319 -0.12949076 0.1563266 121 0 4420.4605 1.0724213 -0.075913546
114 348.99306 64.657085 0.61771153 -0.10063521 0.30469419 121 0 5147.629 3.6580475 -1.4081233
115 1156.6994 63.938668 0.48446082 -0.072675238 0.25442144 121 0 4579.6266 2.6772931 -1.0692398
116 609.79819 65.710967 0.26655113 0.074261174 0.2115037 121 0 4332.2081 1.6126757 -0.51886759
117 1760.1456 66.755677 0.29451021 0.20453662 -0.33521712 121 0 4224.9972 1.1376118 -0.13998523
118 1892.7743 69.053876 0.80243717 -0.088222908 0.036607862 121 0 6838.7255 9.9403808 -2.4935076
119 1698.9272 70.425431 0.87470257 -0.10305705 0.15645865 121 0 5592.7152 5.2862487 -1.807869
120 136.69914 72.036528 0.26582665 -0.23162328 0.13419481 121 0 4313.4534 1.1759153 -0.17594014
121 280.07667 72.389084 0.36575947 0.10628628 0.32528961 121 0 5961.2849 7.9792322 -2.2549028
122 1558.8472 70.600198 0.68951918 -0.094470694 0.12046539 121 0 20652.011 68.69803 -4.5923607
123 1134.0192 71.573339 0.42637252 -0.14096182 0.24775512 121 0 4589.276 2.95682 -1.1770622
124 1361.5693 71.238772 0.49115598 -0.029055576 -0.070046862 121 0 4273.3958 1.1487543 -0.15056788
125 1934.131 72.275926 0.87494856 -0.16758716 0.053252914 121 0 5221.8453 3.8430505 -1.4616902
126 868.38702 73.547412 0.45702602 -0.079974848 0.29537278 121 0 5647.6582 7.7923844 -2.2291759
127 403.75048 75.9739 0.44218246 -0.13678021 0.28654535 121 0 5011.2508 4.0864208 -1.5283577
128 788.42562 74.862099 0.61221431 -0.12738517 0.30357844 121 0 4562.6691 2.0321684 -0.76989924
129 184.71916 76.858898 0.53977031 0.054846274 0.25738143 121 0 5919.2914 6.5372353 -2.0384853
130 1259.4176 75.663224 0.49609644 -0.19813986 0.15290901 121 0 6735.4025 13.517927 -2.8272752
131 1572.4305 75.846805 0.58949034 -0.18071906 0.035498555 121 0 5009.0243 4.3726716 -1.6018672
132 393.27937 76.444992 0.5348663 0.0010104753 0.086790205 121 0 4584.7312 1.8892439 -0.69072008
133 2226.0017 76.144238 0.70849044 0.060134032 -0.10168597 121 0 4312.9604 1.0417468 -0.044405457
134 2363.8807 76.938946 0.99991644 -0.14720929 -0.029317553 121 0 5451.8966 4.3041807 -1.5847262
136 1815.8563 78.842606 0.38494218 0.14099283 -0.090011218 121 0 4272.1481 1.1236768 -0.1266035
137 1954.6268 79.473616 0.67189302 -0.28408117 -0.28628137 121 0 23645.307 79.097259 -4.7454036
139 1228.2163 79.74317 0.50301424 -0.1510915 0.24014354 121 0 5840.8907 8.8959992 -2.3729868
140 2170.4423 80.155391 0.81901007 -0.032817705 -0.033629127 121 0 22914.964 69.42479 -4.6037864
141 1791.1513 82.306848 0.88598624 -0.7646362 -0.01674665 121 0 4444.1179 1.1738379 -0.17402031
142 1021.7489 82.779371 0.3309842 -0.067355489 0.1974982 121 0 4559.3064 3.0507841 -1.2110287
143 225.28429 86.03621 0.46682645 -0.069833984 0.24922375 121 0 14607.158 40.257172 -4.0121082
145 2084.5817 83.928624 0.28344608 -0.32404416 0.29796732 121 0 4233.8563 1.1480854 -0.14993544
146 780.9738 86.289104 0.57354478 -0.12094672 0.36366838 121 0 4457.873 1.5622294 -0.48436202
147 1759.0586 85.591973 0.73761635 -0.13018487 0.10027007 121 0 7026.16 11.709042 -2.6713034
148 726.31185 88.494895 0.4411697 -0.027926842 0.30060797 121 0 5357.4878 6.1086934 -1.9648708
149 1051.8077 88.045575 0.36488145 -0.23157773 0.5763139 121 0 4276.3113 1.2343847 -0.22862631
150 2064.8165 88.346092 0.49690476 0.078030695 -0.076581805 121 0 4422.5689 2.0693564 -0.78958823
151 2309.777 88.068109 0.74559083 -0.22952056 -0.097516589 121 0 5742.9205 6.463912 -2.0262386
152 535.15004 90.133553 0.37093891 -0.36822312 0.64351818 121 0 4314.1544 1.2849196 -0.27218985
153 1646.7868 89.563875 0.65470395 -0.16285537 0.17065315 121 0 4352.407 1.3582167 -0.3324227
154 2178.3509 89.732185 0.82150043 0.42242809 -0.12653705 121 0 4708.6076 2.0903706 -0.80055821
155 2303.8776 91.443198 0.65527008 -0.26351193 -0.20743394 121 0 5128.5641 4.3853081 -1.6050003
157 853.31671 95.522086 0.26836678 -0.068801056 0.48061641 121 0 4340.9519 1.9368616 -0.71774649
158 1278.6165 94.57424 0.5730051 0.00015217058 0.32760279 121 0 5435.3654 6.0389772 -1.9524085
159 1572.7005 98.479153 0.73853085 -0.08246243 0.14217907 121 0 5151.693 4.3082356 -1.5857486
160 1732.8839 99.017547 0.76246763 -0.10111961 0.052998903 121 0 10409.736 24.657019 -3.4798514
162 1416.3048 101.0325 0.82294396 0.15876698 -0.14353005 121 0 4432.5236 1.3598867 -0.33375679
163 1554.9122 101.32901 0.68406636 -0.29621216 -0.02332034 121 0 4339.0582 1.1957645 -0.19411414
164 994.2245 101.47328 0.3475172 -0.52825302 -0.066981226 121 0 4213.5934 1.0796123 -0.08316951
165 1607.9189 102.33096 0.73853685 -0.15960052 0.099881891 121 0 9353.2989 20.81269 -3.2958205
166 797.38742 104.81159 0.34805584 -0.04118267 0.22146947 121 0 4287.0779 1.3133406 -0.29594343
167 1889.4196 106.42138 0.39507031 0.60751791 0.038809965 121 0 51713.24 99.49738 -4.9945291
168 2055.1368 104.16203 0.97386911 -0.33018113 0.039857118 121 0 5232.2613 3.6365915 -1.4017363
169 1387.1919 105.34064 0.69998819 -0.16966963 0.10084126 121 0 4663.1561 2.3707323 -0.93720628
170 1915.8216 104.6117 0.50574623 -0.081483185 0.067297957 121 0 4729.7478 2.0543897 -0.78170705
171 1082.5674 105.7471 0.41909586 -0.21132042 0.3288304 121 0 4629.8503 3.2186582 -1.2691871
172 237.929 110.3205 0.38082319 0.091101617 0.24996589 121 0 5747.6015 6.7510543 -2.073429
173 1805.5526 109.16869 0.84518686 -0.26087573 -0.074191644 121 0 5417.9519 4.6664807 -1.6724737
174 1187.8189 110.80623 0.55879668 -0.078744043 0.22060313 121 0 5274.7568 5.4613995 -1.8432599
175 1666.9755 111.13584 0.73204026 -0.1179464 0.10057944 121 0 5893.4396 7.3053788 -2.1591069
176 1127.1332 112.07578 0.43667597 0.10396182 0.15479762 121 0 4596.9707 2.8502613 -1.1372117
177 1697.5411 111.47969 0.81283115 0.34643257 0.040748473 121 0 5037.8474 3.5577604 -1.3779417
179 960.44331 113.35697 0.53106797 -0.18995156 0.19008135 121 0 9708.9132 26.09292 -3.5413067
180 735.00621 113.89971 0.47638558 0.026154733 0.29112186 121 0 4608.7524 2.4922368 -0.99147327
181 164.67564 116.86827 0.22937666 -0.029996844 0.41499379 121 0 4521.6867 2.499043 -0.9944343
182 2319.4156 114.87347 0.66656973 -0.073942479 -0.063285659 121 0 5698.3999 6.9797711 -2.1096029
183 1273.974 115.93112 0.56274398 -0.1328169 0.20481491 121 0 4875.5243 3.8470197 -1.462811
185 1345.3146 116.44371 0.36121478 0.011608606 0.131491 121 0 4348.5837 1.8818012 -0.68643437
186 1687.9438 116.86237 0.76888413 -0.11048036 0.082440069 121 0 7113.593 11.681269 -2.668725
187 1745.0586 116.91823 0.79110209 -0.11361876 0.20434696 121 0 4369.3005 1.1371016 -0.13949822
188 647.9838 118.56514 0.3066814 -0.28322875 0.092342377 121 0 4363.7503 1.7404671 -0.60166452
189 339.88909 120.97388 0.25014124 0.1084833 0.36691133 121 0 5669.9068 8.0958037 -2.2706499
190 1472.0266 119.05772 0.68664582 -0.22865885 0.11312919 121 0 4580.4102 2.1086764 -0.81002484
191 1584.3909 119.16181 0.82797103 0.015180207 0.080885178 121 0 4370.3391 1.1652445 -0.16604262
192 1798.2944 119.47111 0.70589701 -0.11625909 0.011823431 121 0 5046.6666 3.8723393 -1.4699335
193 2281.3805 119.27338 0.84368138 0.021217408 -0.065054041 121 0 7173.4235 11.067393 -2.6101134
194 305.56424 121.52199 0.31126181 -0.050772736 0.24314108 121 0 4657.5739 2.8469114 -1.1359349
195 1917.9192 121.378 0.94635879 -0.025737473 0.10881213 121 0 5523.062 4.1055967 -1.5334407
196 1102.9737 121.90732 0.56839748 -0.38555238 0.060834454 121 0 4756.8161 3.1335838 -1.2401033
197 1358.4765 124.85478 0.47104464 -0.32357756 0.27916179 121 0 4549.6092 2.5127124 -1.000357
198 2363.3922 126.28665 0.76884233 0.014504478 0.28053914 121 0 5388.6599 4.5043619 -1.6340832
199 2096.9184 125.48023 0.73513711 -0.19131727 0.047203162 121 0 5364.9108 5.1581825 -1.7812418
201 464.35335 128.43923 0.50183289 -0.17833322 0.30803832 121 0 4764.4776 2.86768 -1.1438267
203 1188.2973 127.86969 0.50371461 -0.16877573 0.15166028 121 0 6378.0671 11.559798 -2.6573756
204 1861.5799 128.4335 0.66215621 -0.13545577 0.059642506 121 0 5517.5993 5.5524231 -1.8612064
205 1774.0902 129.3589 0.25568332 -0.20839148 0.0023717675 121 0 4217.2578 1.1397163 -0.14199194
206 1480.7295 130.01746 0.47037184 -0.12845154 0.27263045 121 0 4387.9275 1.7741923 -0.62250175
207 1231.611 131.86998 0.5703292 -0.11418003 0.14543386 121 0 6956.9022 13.47409 -2.8237486
208 2232.1184 132.38446 0.61727516 0.42752742 0.011221119 121 0 4300.4613 1.1290397 -0.13177299
209 2372.7247 132.22369 0.88183077 -0.1458645 -0.41141025 121 0 5721.4884 5.2809433 -1.8067788
210 1542.1567 132.93019 0.67266277 -0.025764684 0.13614263 121 0 5428.9836 5.7733434 -1.9035685
211 2352.8937 133.43495 0.82217661 0.12905394 -0.022468316 121 0 6605.9093 9.0749003 -2.3946047
212 2365.7086 132.69994 0.85524807 -0.0062977791 -0.074650711 121 0 9977.8262 20.614518 -3.285433
214 1146.0636 134.48157 0.37700833 -0.21326327 0.21213669 121 0 4239.8165 1.1956465 -0.19400701
