id xcentroid ycentroid variability RA DEC
301.0 946.35924 678.23033 1.478389 48.993541 57.444842
408.0 1889.7335 964.64389 1.0897517 49.590016 57.494808
585.0 1611.2735 1323.562 1.0822849 49.452351 57.625006
647.0 655.88196 1457.5509 0.89541994 48.881003 57.7122
253.0 2232.1032 573.41145 0.85830435 49.762291 57.350871
297.0 2237.3482 668.18451 0.85191074 49.773947 57.381522
491.0 56.87378 1145.5727 0.84006874 48.489952 57.636352
452.0 2004.4325 1065.8231 0.81208246 49.668507 57.522367
