id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag RA DEC
72 1007.2648 166.13663 0.442983 0.3339578 0.13408182 121 0 6197 1.1801432 -0.17983681 48.987983 57.275001
73 1194.2364 166.4619 0.5073599 0.031974307 0.040792774 121 0 6699 3.722728 -1.4271533 49.100852 57.266663
74 514.01553 173.27884 0.26418199 -0.13069843 0.25368069 121 0 6610 3.5654758 -1.3802937 48.690541 57.299183
75 384.87089 176.86487 0.53325144 -0.3709915 0.21460868 121 0 7130 4.9585261 -1.7383815 48.612717 57.305972
76 535.98233 180.23131 0.68066892 0.3893394 0.26008317 121 0 6764 3.0632537 -1.2154574 48.704382 57.300492
77 1046.5724 182.31557 0.6001805 0.03113821 0.10923802 121 0 6381 1.7189087 -0.58813204 49.013053 57.278512
78 1179.5009 184.06735 0.78019604 -0.09140132 -0.015882989 121 0 7372 5.1426182 -1.7779607 49.093433 57.273076
80 528.82973 188.7578 0.45371192 -0.069643049 0.23259635 121 0 8096 10.902152 -2.5937806 48.700741 57.303587
81 1860.6365 188.4293 0.90182362 0.16425711 0.292099 121 0 6278 1.0052349 -0.0056688747 49.504387 57.243012
82 2108.2712 193.97242 0.9979301 0.053832849 -0.048935156 121 0 11359 16.86766 -3.0676371 49.653918 57.233082
83 1632.4374 196.80166 0.39785999 -0.75507774 -0.042230686 121 0 6119 1.0651312 -0.068507791 49.367653 57.256422
84 295.84175 200.95557 0.75990836 0.1146082 0.30572978 121 0 6585 2.037809 -0.77290871 48.560754 57.317684
85 1106.0965 200.62049 0.73682359 -0.15117198 0.2554568 121 0 6662 2.5980092 -1.0366017 49.05051 57.281799
86 1242.3088 201.07727 0.66864336 0.080156032 0.15363703 121 0 6471 2.1376537 -0.82484338 49.13276 57.275771
87 1310.2559 200.82526 0.89344611 -0.055309251 0.07734557 121 0 9580 12.502043 -2.7424524 49.173735 57.272589
88 2196.2742 201.59057 0.70054438 -0.25266831 -0.11694979 121 0 6251 1.1723877 -0.17267813 49.707532 57.231358
89 1013.0098 205.53994 0.88239332 -0.41301441 0.092598335 121 0 6343 1.216709 -0.21296683 48.994713 57.287599
90 1000.4289 209.65717 0.74698306 -0.2679699 -0.021053711 121 0 7084 4.2068627 -1.5598958 48.987456 57.289508
91 1200.8688 213.70705 0.89956469 -0.035198779 0.21250931 121 0 7427 4.7702582 -1.6963547 49.10881 57.281775
92 1981.641 214.90622 0.64544118 -0.18967565 -0.12051583 121 0 6285 1.4512917 -0.4043868 49.579555 57.245929
93 653.98698 218.6861 0.39163553 -0.43176828 -0.16514239 121 0 6230 1.4493031 -0.40289804 48.778837 57.307863
94 1099.4537 218.70237 0.73842119 0.034823401 -0.06879331 121 0 6485 1.8834933 -0.6874102 49.048005 57.287999
95 1276.0284 224.55848 0.90313006 -0.033802479 0.085587916 121 0 10497 15.404417 -2.9691132 49.155083 57.281894
96 1429.8872 225.29713 0.72080123 0.14878908 -0.10546737 121 0 6437 1.8055642 -0.64153232 49.247972 57.275086
97 1205.304 227.61839 0.66820072 0.077683676 0.15651599 121 0 6547 2.2200401 -0.86590207 49.112653 57.286112
99 1102.7153 232.19386 0.67058292 -0.60547334 0.1155983 121 0 6276 1.1632102 -0.1641455 49.051098 57.292253
100 2287.5399 234.0865 0.89036146 0.015193919 -0.011022081 121 0 7215 4.288034 -1.5806456 49.765323 57.237566
101 1720.8355 235.62464 0.90737787 0.53595491 0.087873643 121 0 6526 1.9575628 -0.72928924 49.424273 57.264962
102 798.43138 234.77521 0.30230171 0.65400571 0.17529792 121 0 6128 1.0278327 -0.029806084 48.867472 57.306726
103 1137.5835 235.70464 0.81264018 -0.1447897 0.007631227 121 0 7626 6.0979121 -1.9629529 49.072445 57.291822
104 1283.2167 238.31572 0.69369613 -0.044603056 0.25724985 121 0 6503 2.1147352 -0.81313996 49.160579 57.286054
105 944.70093 239.14842 0.6096356 -0.12535003 0.087118988 121 0 7926 8.8288043 -2.3647547 48.956228 57.30163
106 1153.4045 240.62417 0.7862035 -0.1184642 0.062379212 121 0 11330 20.417557 -3.2750094 49.082409 57.29271
107 1271.035 240.98055 0.90163242 0.029381624 0.039064238 121 0 7055 3.6374744 -1.4019999 49.153451 57.287479
108 1893.7924 239.78208 0.96278275 -0.14544878 -0.0050600784 121 0 6366 1.2818698 -0.26960978 49.528837 57.258195
