id xcentroid ycentroid variability
1292.0 792.35303 1204.7851 5.938662395164518
93.0 1044.2928 91.695079 3.8212200471439237
1490.0 673.80716 1393.0516 3.2092519996263205
688.0 966.14573 660.95598 3.192685467772882
1219.0 1153.3102 1148.2926 2.862897332485507
243.0 1179.939 229.33181 2.7627368711042095
911.0 428.031 875.69582 2.6432298765668625
799.0 1053.0494 774.57787 2.3239924152905678
941.0 487.18311 902.7328 2.2507243270385993
450.0 1050.6787 428.12418 2.1407865994961717
322.0 853.51045 305.08606 1.6762963084462272
117.0 1995.8367 111.28299 1.6194056557958036
710.0 946.36963 678.24722 1.555897549436683
1092.0 328.60328 1036.7003 1.4091307826380215
1034.0 1877.5805 977.49602 1.4067538450381984
1277.0 1700.8786 1191.6226 1.3831054370378426
1472.0 488.52681 1379.841 1.3770965142360685
468.0 1095.365 444.15198 1.3157454479804056
1434.0 1079.4778 1350.047 1.2994326232451072
1017.0 1889.769 964.70739 1.2444210754893712
412.0 2278.1931 390.71907 1.178968058994047
603.0 2232.1252 573.42783 0.8831624976328489
835.0 1043.9507 803.1006 0.8703671819662493
917.0 987.00707 884.69094 0.8135536724520638
