id xcentroid ycentroid variability
2096.0 1901.4487 871.24701 13.828498285453085
2073.0 1904.3745 867.13034 13.72617832349696
2876.0 1255.09 1215.1051 13.270335594721955
2875.0 714.33848 1215.0173 7.291681921603633
2402.0 1861.5071 998.87913 5.0415373873595275
902.0 2133.1237 387.25778 5.025146623744485
356.0 2176.4605 148.50033 4.7518562371977975
1666.0 2098.4381 702.53341 4.0638464541651045
907.0 2126.7043 389.24005 3.8598206130219825
2437.0 1852.8696 1012.796 3.7744615414799543
551.0 2290.2295 229.44885 3.29928471765695
3179.0 1319.869 1335.3119 3.1531852531395796
2773.0 2016.4516 1172.6082 2.618984152974484
505.0 1747.0144 209.00417 2.548342089015737
661.0 823.43581 277.80909 2.5420177990401065
2349.0 1841.5015 979.88882 2.239422168186987
338.0 1295.0974 142.0159 2.1287646386573353
561.0 2281.0649 233.10308 2.053077940980598
2154.0 260.38697 895.04522 1.950525583706874
3587.0 1327.1446 1499.5024 1.822714927689338
185.0 2363.8807 76.938946 1.8158646028522534
2231.0 1041.9339 925.30476 1.8075976115416412
3821.0 1469.9099 1594.9395 1.796467852545913
484.0 392.14382 206.39577 1.7438413099390957
2082.0 346.93498 866.08221 1.628200733683649
1916.0 2143.4904 800.97612 1.6144561421118526
2978.0 1837.3101 1253.3229 1.578294213742025
761.0 47.966643 328.40596 1.5685232112691514
2729.0 1656.321 1147.5799 1.5477057959864493
1220.0 281.54657 514.52438 1.5102945938945278
2890.0 2190.9601 1221.2924 1.4896605724431051
201.0 225.28429 86.03621 1.4164830269346802
1420.0 1966.7791 601.86447 1.4087939571179051
2174.0 348.44325 902.74341 1.379305665523504
1499.0 529.97721 635.4552 1.3612918739039332
1373.0 1569.9947 584.18195 1.307246682216965
225.0 1907.0894 94.050818 1.2878533207518696
542.0 2296.4676 223.87797 1.2569329738046247
284.0 2363.3922 126.28665 1.2557914357471789
1512.0 520.18491 639.46661 1.2548869396934608
1707.0 1297.6025 716.72622 1.2129158080467861
2491.0 986.54965 1038.4069 1.2048933765031729
2027.0 348.62225 844.65196 1.1681895339733912
2167.0 1332.7218 899.40725 1.1576035047244895
2210.0 23.979986 919.90443 1.1015898736291543
354.0 1944.4187 150.3547 1.076744939038153
2128.0 732.52331 885.99561 1.0690919240420402
863.0 2256.2307 369.75327 1.0481550014299101
1903.0 524.61504 798.25125 1.01814941261729
1228.0 1974.5019 514.36433 1.0111263052366832
1980.0 2149.0867 821.45299 0.9767560167359206
492.0 154.25309 208.056 0.9734171833537314
2061.0 1489.7613 855.91439 0.9375403114334223
2333.0 1849.4124 972.97809 0.934460429547149
1049.0 1349.7294 440.46954 0.9289436738695356
2864.0 1240.6549 1209.277 0.8971086986911844
2673.0 524.24715 1126.9852 0.8863190479111619
639.0 1010.3611 264.32997 0.8825752226456799
2098.0 2319.4821 870.8997 0.8738327780544328
431.0 401.4297 182.80739 0.871239401283832
1185.0 1542.8906 502.47024 0.8619859114498604
334.0 1948.7251 142.06452 0.8494793043859823
1462.0 95.532212 621.99965 0.8368515071317604
192.0 1875.3054 82.642332 0.8367118361661026
3223.0 909.17871 1353.6881 0.8314264846540238
3289.0 111.25823 1379.8042 0.8182825458051424
2986.0 2340.0363 1259.0283 0.8074186543522465
648.0 443.69141 267.98517 0.8033567657102868
397.0 2144.244 165.55632 0.8023885993701018
247.0 1915.8216 104.6117 0.8005933993918734
